letters,times_seen,distinct_words,words_that_give_it
I,30,11,"one (12), i (5), current (4), india (2), island (1), international (1), if (1), author (1), one’s (1), in (1), 1 (1)"
E,26,17,"english (7), energy (3), european (2), space (1), new (1), non-negotiable (1), enemies (1), drug (1), enterprise (1), earl (1), extremely (1), east (1)"
A,24,13,"a (7), area (4), american (3), onset of ardent (1), america (1), note (1), article (1), affect (1), an (1), ace (1), rebecca (1), appearance (1)"
C,21,12,"cold (4), caught (3), cape (2), conservative (2), constant (2), clubs (2), chapter (1), key (1), about (1), 100 (1), isaac (1), cup (1)"
L,19,8,"left (6), liberal (5), large (2), line (2), lima (1), litre (1), pound (1), love (1)"
N,19,11,"new (6), name (3), northern (2), noon (1), attention (1), november (1), note (1), n (1), depression (1), inspection (1), monty (1)"
M,18,13,"male (3), motorway (3), maiden (2), married (1), mafia (1), man (1), month (1), bond (1), mass (1), miles (1), mike (1), manager’s (1)"
O,18,8,"nothing (5), old (4), love (3), duck (2), oxygenated (1), over (1), 0 (1), occupation (1)"
B,17,10,"book (6), billions (2), british (2), bishop (1), better (1), bomb (1), black (1), face of boxer (1), breeches (1), bachelor (1)"
R,17,11,"republican (3), river (3), right (3), rivers (1), floor (1), reading perhaps (1), run (1), resistance (1), choir’s (1), bear’s back (1), king (1)"
S,16,11,"small (3), succeeded (2), son (2), second (2), society (1), selects (1), singleton (1), southern (1), sierra (1), of (1), medals (1)"
T,15,12,"time (4), tense (1), terrible (1), the (1), trump (1), to (1), tesla (1), these (1), tournament (1), temperature (1), limit (1), theory (1)"
D,12,7,"democrat (4), day (3), the day (1), daughter (1), world (1), sunbed (1), 500 (1)"
IN,9,4,"popular (3), home (3), in (2), to enter (1)"
G,8,6,"grand (2), good (2), finish off drug (1), goose’s (1), greek (1), golf (1)"
H,8,5,"husband (3), hard (2), aspiration (1), him (1), hot (1)"
P,8,5,"power (4), quiet (1), pence (1), surface of planet (1), penny (1)"
W,8,4,"wife (5), with (1), western (1), week (1)"
TA,7,7,"i’m obliged (1), terriers (1), cheers (1), <i>cheers</i> (1), you shouldn’t have (1), thanks (1), much appreciated (1)"
U,7,4,"you (3), university (2), united (1), uniform (1)"
Y,7,7,"tenancy (1), years (1), today (1), year (1), another (1), decay (1), employ (1)"
F,6,4,"female (3), f (1), following (1), loud (1)"
PA,6,5,"old man (2), assistant (1), father (1), admin worker (1), secretary (1)"
AN,5,2,"article (3), an (2)"
AS,5,4,"when (2), since (1), while (1), like (1)"
IS,5,3,"is (3), remains (1), lives (1)"
LIE,5,3,"story (3), untruth (1), deliberate inaccuracy (1)"
ON,5,3,"on (2), working (2), showing (1)"
RE,5,3,"about (2), on (2), connected to (1)"
CAR,4,4,"estate possibly (1), saloon, perhaps (1), vehicle (1), being driven (1)"
CO,3,1,company (3)
DR,3,1,doctor (3)
EG,3,3,"say (1), for example (1), for one (1)"
EX,3,3,"harry (1), old (1), former partner (1)"
LA,3,3,"lanthanum (1), louisiana (1), los angeles (1)"
LOO,3,3,"lavatory (1), can (1), room with throne (1)"
MAN,3,3,"crew (1), fellow (1), male (1)"
MY,3,3,"my (1), gracious (1), crumbs! (1)"
